----------------------header--------------------------%newline0, 2016/12/6 11:38:15, QQMGBWebserver, [5808]now thread count is =2
45, 2016/12/6 11:39:52, QQMGBWebserver, [5808]now thread count is =2
46, 2016/12/6 11:39:53, QQMGBWebserver, [5808]now thread count is =2
47, 2016/12/6 11:39:54, QQMGBWebserver, [5808]now thread count is =2
48, 2016/12/6 11:39:55, QQMGBWebserver, [5808]now thread count is =2
49, 2016/12/6 11:39:56, QQMGBWebserver, [5808]now thread count is =2
50, 2016/12/6 11:39:57, QQMGBWebserver, [5808]now thread count is =2
51, 2016/12/6 11:39:58, QQMGBWebserver, [5808]now thread count is =2
52, 2016/12/6 11:39:59, QQMGBWebserver, [5808]now thread count is =2
53, 2016/12/6 11:40:00, QQMGBWebserver, [5808]now thread count is =2
54, 2016/12/6 11:40:01, QQMGBWebserver, [5808]now thread count is =2
55, 2016/12/6 11:40:02, QQMGBWebserver, [5808]now thread count is =2
56, 2016/12/6 11:40:03, QQMGBWebserver, [5808]now thread count is =2
57, 2016/12/6 11:40:04, QQMGBWebserver, [5808]now thread count is =2
58, 2016/12/6 11:40:05, QQMGBWebserver, [5808]now thread count is =2
59, 2016/12/6 11:40:06, QQMGBWebserver, [5808]now thread count is =2
60, 2016/12/6 11:40:07, QQMGBWebserver, [5808]now thread count is =2
61, 2016/12/6 11:40:08, QQMGBWebserver, [5808]now thread count is =2
62, 2016/12/6 11:40:09, QQMGBWebserver, [5808]now thread count is =2
63, 2016/12/6 11:40:10, QQMGBWebserver, [5808]now thread count is =2
64, 2016/12/6 11:40:11, QQMGBWebserver, [5808]now thread count is =2
65, 2016/12/6 11:40:12, QQMGBWebserver, [5808]now thread count is =2
66, 2016/12/6 11:40:13, QQMGBWebserver, [5808]now thread count is =2
67, 2016/12/6 11:40:14, QQMGBWebserver, [5808]now thread count is =2
68, 2016/12/6 11:40:15, QQMGBWebserver, [5808]now thread count is =2
69, 2016/12/6 11:40:16, QQMGBWebserver, [5808]now thread count is =2
70, 2016/12/6 11:40:17, QQMGBWebserver, [5808]now thread count is =2
71, 2016/12/6 11:40:18, QQMGBWebserver, [5808]now thread count is =2
72, 2016/12/6 11:40:19, QQMGBWebserver, [5808]now thread count is =2
73, 2016/12/6 11:40:20, QQMGBWebserver, [5808]now thread count is =2
74, 2016/12/6 11:40:21, QQMGBWebserver, [5808]now thread count is =2
75, 2016/12/6 11:40:22, QQMGBWebserver, [5808]now thread count is =2
76, 2016/12/6 11:40:23, QQMGBWebserver, [5808]now thread count is =2
77, 2016/12/6 11:40:24, QQMGBWebserver, [5808]now thread count is =2
78, 2016/12/6 11:40:25, QQMGBWebserver, [5808]now thread count is =2
79, 2016/12/6 11:40:26, QQMGBWebserver, [5808]now thread count is =2
80, 2016/12/6 11:40:27, QQMGBWebserver, [5808]now thread count is =2
81, 2016/12/6 11:40:28, QQMGBWebserver, [5808]now thread count is =2
82, 2016/12/6 11:40:29, QQMGBWebserver, [5808]now thread count is =2
83, 2016/12/6 11:40:30, QQMGBWebserver, [5808]now thread count is =2
84, 2016/12/6 11:40:31, QQMGBWebserver, [5808]now thread count is =2
85, 2016/12/6 11:40:32, QQMGBWebserver, [5808]now thread count is =2
86, 2016/12/6 11:40:33, QQMGBWebserver, [5808]now thread count is =2
87, 2016/12/6 11:40:34, QQMGBWebserver, [5808]now thread count is =2
88, 2016/12/6 11:40:35, QQMGBWebserver, [5808]now thread count is =2
89, 2016/12/6 11:40:36, QQMGBWebserver, [5808]now thread count is =2
90, 2016/12/6 11:40:37, QQMGBWebserver, [5808]now thread count is =2
91, 2016/12/6 11:40:38, QQMGBWebserver, [5808]now thread count is =2
92, 2016/12/6 11:40:39, QQMGBWebserver, [5808]now thread count is =2
93, 2016/12/6 11:40:40, QQMGBWebserver, [5808]now thread count is =2
94, 2016/12/6 11:40:41, QQMGBWebserver, [5808]now thread count is =2
95, 2016/12/6 11:40:42, QQMGBWebserver, [5808]now thread count is =2
96, 2016/12/6 11:40:43, QQMGBWebserver, [5808]now thread count is =2
97, 2016/12/6 11:40:44, QQMGBWebserver, [5808]now thread count is =2
98, 2016/12/6 11:40:45, QQMGBWebserver, [5808]now thread count is =2
99, 2016/12/6 11:40:46, QQMGBWebserver, [5808]now thread count is =2
100, 2016/12/6 11:40:47, QQMGBWebserver, [5808]now thread count is =2
101, 2016/12/6 11:40:48, QQMGBWebserver, [5808]now thread count is =2
102, 2016/12/6 11:40:49, QQMGBWebserver, [5808]now thread count is =2
103, 2016/12/6 11:40:50, QQMGBWebserver, [5808]now thread count is =2
104, 2016/12/6 11:40:51, QQMGBWebserver, [5808]now thread count is =2
105, 2016/12/6 11:40:52, QQMGBWebserver, [5808]now thread count is =2
106, 2016/12/6 11:40:53, QQMGBWebserver, [5808]now thread count is =2
107, 2016/12/6 11:40:54, QQMGBWebserver, [5808]now thread count is =2
108, 2016/12/6 11:40:55, QQMGBWebserver, [5808]now thread count is =2
109, 2016/12/6 11:40:56, QQMGBWebserver, [5808]now thread count is =2
110, 2016/12/6 11:40:57, QQMGBWebserver, [5808]now thread count is =2
111, 2016/12/6 11:40:58, QQMGBWebserver, [5808]now thread count is =2
112, 2016/12/6 11:40:59, QQMGBWebserver, [5808]now thread count is =2
113, 2016/12/6 11:41:00, devenv, [7264]Entering Microsoft.TeamFoundation.ProcessTools.TemplateEditor.EditorFactory CreateEditorInstace()
114, 2016/12/6 11:41:00, QQMGBWebserver, [5808]now thread count is =2
115, 2016/12/6 11:41:01, QQMGBWebserver, [5808]now thread count is =2
116, 2016/12/6 11:41:02, QQMGBWebserver, [5808]now thread count is =2
117, 2016/12/6 11:41:03, QQMGBWebserver, [5808]now thread count is =2
118, 2016/12/6 11:41:04, QQMGBWebserver, [5808]now thread count is =2
119, 2016/12/6 11:41:05, QQMGBWebserver, [5808]now thread count is =2
120, 2016/12/6 11:41:06, QQMGBWebserver, [5808]now thread count is =2
121, 2016/12/6 11:41:07, QQMGBWebserver, [5808]now thread count is =2
122, 2016/12/6 11:41:08, QQMGBWebserver, [5808]now thread count is =2
----------------------header--------------------------\r\n0, 2016/12/6 11:41:12, QQMGBWebserver, [5808]now thread count is =2
1, 2016/12/6 11:41:13, QQMGBWebserver, [5808]now thread count is =2
2, 2016/12/6 11:41:14, QQMGBWebserver, [5808]now thread count is =2
3, 2016/12/6 11:41:15, QQMGBWebserver, [5808]now thread count is =2
4, 2016/12/6 11:41:16, QQMGBWebserver, [5808]now thread count is =2
5, 2016/12/6 11:41:17, QQMGBWebserver, [5808]now thread count is =2
6, 2016/12/6 11:41:18, QQMGBWebserver, [5808]now thread count is =2
7, 2016/12/6 11:41:19, QQMGBWebserver, [5808]now thread count is =2
8, 2016/12/6 11:41:20, QQMGBWebserver, [5808]now thread count is =2
9, 2016/12/6 11:41:21, QQMGBWebserver, [5808]now thread count is =2
10, 2016/12/6 11:41:22, QQMGBWebserver, [5808]now thread count is =2
11, 2016/12/6 11:41:23, QQMGBWebserver, [5808]now thread count is =2
12, 2016/12/6 11:41:24, QQMGBWebserver, [5808]now thread count is =2
13, 2016/12/6 11:41:25, QQMGBWebserver, [5808]now thread count is =2
14, 2016/12/6 11:41:26, QQMGBWebserver, [5808]now thread count is =2
15, 2016/12/6 11:41:27, QQMGBWebserver, [5808]now thread count is =2
16, 2016/12/6 11:41:28, QQMGBWebserver, [5808]now thread count is =2
17, 2016/12/6 11:41:29, QQMGBWebserver, [5808]now thread count is =2
18, 2016/12/6 11:41:30, QQMGBWebserver, [5808]now thread count is =2
19, 2016/12/6 11:41:31, QQMGBWebserver, [5808]now thread count is =2
20, 2016/12/6 11:41:32, QQMGBWebserver, [5808]now thread count is =2
21, 2016/12/6 11:41:33, QQMGBWebserver, [5808]now thread count is =2
22, 2016/12/6 11:41:34, QQMGBWebserver, [5808]now thread count is =2
23, 2016/12/6 11:41:35, QQMGBWebserver, [5808]now thread count is =2
24, 2016/12/6 11:41:36, QQMGBWebserver, [5808]now thread count is =2
25, 2016/12/6 11:41:37, QQMGBWebserver, [5808]now thread count is =2
26, 2016/12/6 11:41:38, QQMGBWebserver, [5808]now thread count is =2
27, 2016/12/6 11:41:39, QQMGBWebserver, [5808]now thread count is =2
28, 2016/12/6 11:41:40, QQMGBWebserver, [5808]now thread count is =2
29, 2016/12/6 11:41:41, QQMGBWebserver, [5808]now thread count is =2
----------------------header--------------------------

0, 2016/12/6 11:41:45, QQMGBWebserver, [5808]now thread count is =2
1, 2016/12/6 11:41:46, QQMGBWebserver, [5808]now thread count is =2
2, 2016/12/6 11:41:47, QQMGBWebserver, [5808]now thread count is =2
3, 2016/12/6 11:41:48, QQMGBWebserver, [5808]now thread count is =2
4, 2016/12/6 11:41:49, QQMGBWebserver, [5808]now thread count is =2
5, 2016/12/6 11:41:50, QQMGBWebserver, [5808]now thread count is =2
6, 2016/12/6 11:41:51, QQMGBWebserver, [5808]now thread count is =2
7, 2016/12/6 11:41:52, QQMGBWebserver, [5808]now thread count is =2
8, 2016/12/6 11:41:53, QQMGBWebserver, [5808]now thread count is =2
9, 2016/12/6 11:41:54, QQMGBWebserver, [5808]now thread count is =2
10, 2016/12/6 11:41:55, QQMGBWebserver, [5808]now thread count is =2
11, 2016/12/6 11:41:56, QQMGBWebserver, [5808]now thread count is =2
12, 2016/12/6 11:41:57, QQMGBWebserver, [5808]now thread count is =2
13, 2016/12/6 11:41:58, QQMGBWebserver, [5808]now thread count is =2
14, 2016/12/6 11:41:59, QQMGBWebserver, [5808]now thread count is =2
15, 2016/12/6 11:42:00, QQMGBWebserver, [5808]now thread count is =2
16, 2016/12/6 11:42:01, QQMGBWebserver, [5808]now thread count is =2
17, 2016/12/6 11:42:02, QQMGBWebserver, [5808]now thread count is =2
18, 2016/12/6 11:42:03, QQMGBWebserver, [5808]now thread count is =2
19, 2016/12/6 11:42:04, QQMGBWebserver, [5808]now thread count is =2
20, 2016/12/6 11:42:05, QQMGBWebserver, [5808]now thread count is =2
21, 2016/12/6 11:42:06, QQMGBWebserver, [5808]now thread count is =2
22, 2016/12/6 11:42:07, QQMGBWebserver, [5808]now thread count is =2
23, 2016/12/6 11:42:08, QQMGBWebserver, [5808]now thread count is =2
24, 2016/12/6 11:42:09, QQMGBWebserver, [5808]now thread count is =2
25, 2016/12/6 11:42:10, QQMGBWebserver, [5808]now thread count is =2
26, 2016/12/6 11:42:11, QQMGBWebserver, [5808]now thread count is =2
27, 2016/12/6 11:42:12, QQMGBWebserver, [5808]now thread count is =2
28, 2016/12/6 11:42:13, QQMGBWebserver, [5808]now thread count is =2
29, 2016/12/6 11:42:14, QQMGBWebserver, [5808]now thread count is =2
30, 2016/12/6 11:42:15, QQMGBWebserver, [5808]now thread count is =2
31, 2016/12/6 11:42:16, QQMGBWebserver, [5808]now thread count is =2
32, 2016/12/6 11:42:17, QQMGBWebserver, [5808]now thread count is =2
33, 2016/12/6 11:42:18, QQMGBWebserver, [5808]now thread count is =2
34, 2016/12/6 11:42:19, QQMGBWebserver, [5808]now thread count is =2
35, 2016/12/6 11:42:20, QQMGBWebserver, [5808]now thread count is =2
36, 2016/12/6 11:42:21, QQMGBWebserver, [5808]now thread count is =2
37, 2016/12/6 11:42:22, QQMGBWebserver, [5808]now thread count is =2
38, 2016/12/6 11:42:23, QQMGBWebserver, [5808]now thread count is =2
39, 2016/12/6 11:42:24, QQMGBWebserver, [5808]now thread count is =2
40, 2016/12/6 11:42:25, QQMGBWebserver, [5808]now thread count is =2
41, 2016/12/6 11:42:26, QQMGBWebserver, [5808]now thread count is =2
42, 2016/12/6 11:42:27, QQMGBWebserver, [5808]now thread count is =2
43, 2016/12/6 11:42:28, QQMGBWebserver, [5808]now thread count is =2
44, 2016/12/6 11:42:29, QQMGBWebserver, [5808]now thread count is =2
45, 2016/12/6 11:42:30, QQMGBWebserver, [5808]now thread count is =2
46, 2016/12/6 11:42:31, QQMGBWebserver, [5808]now thread count is =2
47, 2016/12/6 11:42:32, QQMGBWebserver, [5808]now thread count is =2
48, 2016/12/6 11:42:33, QQMGBWebserver, [5808]now thread count is =2
49, 2016/12/6 11:42:34, QQMGBWebserver, [5808]now thread count is =2
50, 2016/12/6 11:42:35, QQMGBWebserver, [5808]now thread count is =2
51, 2016/12/6 11:42:36, QQMGBWebserver, [5808]now thread count is =2
52, 2016/12/6 11:42:37, QQMGBWebserver, [5808]now thread count is =2
53, 2016/12/6 11:42:38, QQMGBWebserver, [5808]now thread count is =2
54, 2016/12/6 11:42:39, QQMGBWebserver, [5808]now thread count is =2
55, 2016/12/6 11:42:40, QQMGBWebserver, [5808]now thread count is =2
56, 2016/12/6 11:42:41, QQMGBWebserver, [5808]now thread count is =2
57, 2016/12/6 11:42:42, QQMGBWebserver, [5808]now thread count is =2
58, 2016/12/6 11:42:43, QQMGBWebserver, [5808]now thread count is =2
59, 2016/12/6 11:42:44, QQMGBWebserver, [5808]now thread count is =2
60, 2016/12/6 11:42:45, QQMGBWebserver, [5808]now thread count is =2
61, 2016/12/6 11:42:46, QQMGBWebserver, [5808]now thread count is =2
62, 2016/12/6 11:42:47, QQMGBWebserver, [5808]now thread count is =2
63, 2016/12/6 11:42:48, QQMGBWebserver, [5808]now thread count is =2
64, 2016/12/6 11:42:49, QQMGBWebserver, [5808]now thread count is =2
65, 2016/12/6 11:42:50, QQMGBWebserver, [5808]now thread count is =2
66, 2016/12/6 11:42:51, QQMGBWebserver, [5808]now thread count is =2
67, 2016/12/6 11:42:52, QQMGBWebserver, [5808]now thread count is =2
68, 2016/12/6 11:42:53, QQMGBWebserver, [5808]now thread count is =2
69, 2016/12/6 11:42:54, QQMGBWebserver, [5808]now thread count is =2
70, 2016/12/6 11:42:56, QQMGBWebserver, [5808]now thread count is =2
71, 2016/12/6 11:42:56, QQMGBWebserver, [5808]now thread count is =2
72, 2016/12/6 11:42:57, QQMGBWebserver, [5808]now thread count is =2
73, 2016/12/6 11:42:58, QQMGBWebserver, [5808]now thread count is =2
74, 2016/12/6 11:42:59, QQMGBWebserver, [5808]now thread count is =2
75, 2016/12/6 11:43:00, QQMGBWebserver, [5808]now thread count is =2
76, 2016/12/6 11:43:02, QQMGBWebserver, [5808]now thread count is =2
77, 2016/12/6 11:43:02, QQMGBWebserver, [5808]now thread count is =2
78, 2016/12/6 11:43:03, QQMGBWebserver, [5808]now thread count is =2
79, 2016/12/6 11:43:04, QQMGBWebserver, [5808]now thread count is =2
80, 2016/12/6 11:43:05, QQMGBWebserver, [5808]now thread count is =2
----------------------header--------------------------

0, 2016/12/6 11:43:09, QQMGBWebserver, [5808]now thread count is =2
1, 2016/12/6 11:43:10, QQMGBWebserver, [5808]now thread count is =2
2, 2016/12/6 11:43:11, QQMGBWebserver, [5808]now thread count is =2
3, 2016/12/6 11:43:12, QQMGBWebserver, [5808]now thread count is =2
4, 2016/12/6 11:43:14, QQMGBWebserver, [5808]now thread count is =2
5, 2016/12/6 11:43:15, QQMGBWebserver, [5808]now thread count is =2
6, 2016/12/6 11:43:15, QQMGBWebserver, [5808]now thread count is =2
7, 2016/12/6 11:43:16, QQMGBWebserver, [5808]now thread count is =2
8, 2016/12/6 11:43:17, QQMGBWebserver, [5808]now thread count is =2
9, 2016/12/6 11:43:18, QQMGBWebserver, [5808]now thread count is =2
10, 2016/12/6 11:43:20, QQMGBWebserver, [5808]now thread count is =2
11, 2016/12/6 11:43:21, QQMGBWebserver, [5808]now thread count is =2
12, 2016/12/6 11:43:21, QQMGBWebserver, [5808]now thread count is =2
13, 2016/12/6 11:43:22, QQMGBWebserver, [5808]now thread count is =2
14, 2016/12/6 11:43:23, QQMGBWebserver, [5808]now thread count is =2
15, 2016/12/6 11:43:24, QQMGBWebserver, [5808]now thread count is =2
16, 2016/12/6 11:43:25, devenv, [10796]Performance warning: String load failed. Pkg:{3A7CFB87-3F97-4460-935F-743C20EDEAB7} (TfptPackage) LANG:0804 ID:0
17, 2016/12/6 11:43:25, QQMGBWebserver, [5808]now thread count is =2
18, 2016/12/6 11:43:26, devenv, [10796]--LOGLOG-- Added omnipresent logger with type [JetBrains.UI.Application.LogEventListener] and level [INFO]
19, 2016/12/6 11:43:26, devenv, [10796]--LOGLOG-- Initializing LogManager with path=C:\Users\Rox\AppData\Local\JetBrains\ReSharperPlatformVs14\v04\LogConfiguration.xml, subconfiguration=Debug
20, 2016/12/6 11:43:27, QQMGBWebserver, [5808]now thread count is =2
21, 2016/12/6 11:43:27, devenv, [10796]VSMSOUI: Button '导航到' ({5DD0BB59-7076-4C59-88D3-DE36931F63F0}:1000) defined by package '(null)' ({D309F791-903F-11D0-9EFC-00A0C911004F}) uses icon guidOfficeIcon:746, which is no longer supported
22, 2016/12/6 11:43:27, devenv, [10796]VSMSOUI: Button '调试浏览器' ({CB26E292-901A-419C-B79D-49BD45C43929}:200) defined by package 'Visual Studio Common IDE Package' ({6E87CFAD-6C05-4ADF-9CD7-3B7943875B7C}) uses icon guidOfficeIcon:746, which is no longer supported
23, 2016/12/6 11:43:27, devenv, [10796]VSMSOUI: Button 'Web 调试程序' ({0F86238E-77AC-4AD8-BFEB-0CE949BF11A1}:256) defined by package 'Visual Studio Common IDE Package' ({6E87CFAD-6C05-4ADF-9CD7-3B7943875B7C}) uses icon guidOfficeIcon:746, which is no longer supported
24, 2016/12/6 11:43:27, devenv, [10796]VSMSOUI: Button '模拟器' ({FEEA6E9D-77D8-423F-9EDE-3970CBB76125}:256) defined by package 'Visual Studio Common IDE Package' ({6E87CFAD-6C05-4ADF-9CD7-3B7943875B7C}) uses icon guidOfficeIcon:746, which is no longer supported
25, 2016/12/6 11:43:27, devenv, [10796]VSMSOUI: Button '本地计算机' ({FEEA6E9D-77D8-423F-9EDE-3970CBB76125}:512) defined by package 'Visual Studio Common IDE Package' ({6E87CFAD-6C05-4ADF-9CD7-3B7943875B7C}) uses icon guidOfficeIcon:746, which is no longer supported
26, 2016/12/6 11:43:27, devenv, [10796]VSMSOUI: Button '受限设备' ({FEEA6E9D-77D8-423F-9EDE-3970CBB76125}:768) defined by package 'Visual Studio Common IDE Package' ({6E87CFAD-6C05-4ADF-9CD7-3B7943875B7C}) uses icon guidOfficeIcon:746, which is no longer supported
27, 2016/12/6 11:43:27, devenv, [10796]VSMSOUI: Button '远程计算机' ({FEEA6E9D-77D8-423F-9EDE-3970CBB76125}:1024) defined by package 'Visual Studio Common IDE Package' ({6E87CFAD-6C05-4ADF-9CD7-3B7943875B7C}) uses icon guidOfficeIcon:746, which is no longer supported
28, 2016/12/6 11:43:27, devenv, [10796]VSMSOUI: Button '仿真程序' ({FEEA6E9D-77D8-423F-9EDE-3970CBB76125}:1280) defined by package 'Visual Studio Common IDE Package' ({6E87CFAD-6C05-4ADF-9CD7-3B7943875B7C}) uses icon guidOfficeIcon:746, which is no longer supported
29, 2016/12/6 11:43:27, devenv, [10796]VSMSOUI: Button '多个浏览器' ({CB26E292-901A-419C-B79D-49BD45C43929}:300) defined by package 'Visual Studio Common IDE Package' ({6E87CFAD-6C05-4ADF-9CD7-3B7943875B7C}) uses icon guidOfficeIcon:746, which is no longer supported
30, 2016/12/6 11:43:27, devenv, [10796]VSMSOUI: Button '下载仿真程序 8.1...' ({AC8BCC47-F5F3-4AFA-8CC2-F0D697E04BB7}:769) defined by package 'CommandsPackage' ({19AA6823-3AC0-4210-92AF-07E2F0B4E81F}) uses icon guidOfficeIcon:746, which is no longer supported
31, 2016/12/6 11:43:27, devenv, [10796]VSMSOUI: Button '下载仿真程序 8.0...' ({AC8BCC47-F5F3-4AFA-8CC2-F0D697E04BB7}:770) defined by package 'CommandsPackage' ({19AA6823-3AC0-4210-92AF-07E2F0B4E81F}) uses icon guidOfficeIcon:746, which is no longer supported
32, 2016/12/6 11:43:27, devenv, [10796]VSMSOUI: Button '使用以下工具浏览(&H)...' ({CB26E292-901A-419C-B79D-49BD45C43929}:301) defined by package 'Microsoft.VisualStudio.Web.Application.WAPackage, Microsoft.VisualStudio.Web.Application, Version=14.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' ({349C5850-65DF-11DA-9384-00065B846F21}) uses icon guidOfficeIcon:746, which is no longer supported
33, 2016/12/6 11:43:27, devenv, [10796]VSMSOUI: Button '更多模拟器(&E)...' ({8E0F1B18-5FA7-4CB1-8B2C-07BC037971B6}:101) defined by package 'Microsoft.VisualStudio.Web.Project.WebProjectPackage, Microsoft.VisualStudio.Web.Project' ({AAB75614-2F8F-4DA6-B0A6-763C6DBB2969}) uses icon guidOfficeIcon:746, which is no longer supported
